file_name,ligand_name,pdb_name,file_type,file_path
5w88_ligand.sdf,5w88_ligand,5w88,sdf,../data/v2020-other-PL/5w88/5w88_ligand.sdf
5w88_ligand.mol2,5w88_ligand,5w88,mol2,../data/v2020-other-PL/5w88/5w88_ligand.mol2
4h3c_ligand.mol2,4h3c_ligand,4h3c,mol2,../data/v2020-other-PL/4h3c/4h3c_ligand.mol2
4h3c_ligand.sdf,4h3c_ligand,4h3c,sdf,../data/v2020-other-PL/4h3c/4h3c_ligand.sdf
4uvb_ligand.sdf,4uvb_ligand,4uvb,sdf,../data/v2020-other-PL/4uvb/4uvb_ligand.sdf
4uvb_ligand.mol2,4uvb_ligand,4uvb,mol2,../data/v2020-other-PL/4uvb/4uvb_ligand.mol2
1juy_ligand.mol2,1juy_ligand,1juy,mol2,../data/v2020-other-PL/1juy/1juy_ligand.mol2
1juy_ligand.sdf,1juy_ligand,1juy,sdf,../data/v2020-other-PL/1juy/1juy_ligand.sdf
5n8b_ligand.mol2,5n8b_ligand,5n8b,mol2,../data/v2020-other-PL/5n8b/5n8b_ligand.mol2
5n8b_ligand.sdf,5n8b_ligand,5n8b,sdf,../data/v2020-other-PL/5n8b/5n8b_ligand.sdf
4qvv_ligand.sdf,4qvv_ligand,4qvv,sdf,../data/v2020-other-PL/4qvv/4qvv_ligand.sdf
4qvv_ligand.mol2,4qvv_ligand,4qvv,mol2,../data/v2020-other-PL/4qvv/4qvv_ligand.mol2
1uu7_ligand.sdf,1uu7_ligand,1uu7,sdf,../data/v2020-other-PL/1uu7/1uu7_ligand.sdf
1uu7_ligand.mol2,1uu7_ligand,1uu7,mol2,../data/v2020-other-PL/1uu7/1uu7_ligand.mol2
5hn0_ligand.mol2,5hn0_ligand,5hn0,mol2,../data/v2020-other-PL/5hn0/5hn0_ligand.mol2
5hn0_ligand.sdf,5hn0_ligand,5hn0,sdf,../data/v2020-other-PL/5hn0/5hn0_ligand.sdf
5j7b_ligand.sdf,5j7b_ligand,5j7b,sdf,../data/v2020-other-PL/5j7b/5j7b_ligand.sdf
5j7b_ligand.mol2,5j7b_ligand,5j7b,mol2,../data/v2020-other-PL/5j7b/5j7b_ligand.mol2
5gjg_ligand.mol2,5gjg_ligand,5gjg,mol2,../data/v2020-other-PL/5gjg/5gjg_ligand.mol2
5gjg_ligand.sdf,5gjg_ligand,5gjg,sdf,../data/v2020-other-PL/5gjg/5gjg_ligand.sdf
1uxa_ligand.mol2,1uxa_ligand,1uxa,mol2,../data/v2020-other-PL/1uxa/1uxa_ligand.mol2
1uxa_ligand.sdf,1uxa_ligand,1uxa,sdf,../data/v2020-other-PL/1uxa/1uxa_ligand.sdf
5zk3_ligand.sdf,5zk3_ligand,5zk3,sdf,../data/v2020-other-PL/5zk3/5zk3_ligand.sdf
5zk3_ligand.mol2,5zk3_ligand,5zk3,mol2,../data/v2020-other-PL/5zk3/5zk3_ligand.mol2
2qlb_ligand.mol2,2qlb_ligand,2qlb,mol2,../data/v2020-other-PL/2qlb/2qlb_ligand.mol2
2qlb_ligand.sdf,2qlb_ligand,2qlb,sdf,../data/v2020-other-PL/2qlb/2qlb_ligand.sdf
5aok_ligand.sdf,5aok_ligand,5aok,sdf,../data/v2020-other-PL/5aok/5aok_ligand.sdf
5aok_ligand.mol2,5aok_ligand,5aok,mol2,../data/v2020-other-PL/5aok/5aok_ligand.mol2
6b1c_ligand.mol2,6b1c_ligand,6b1c,mol2,../data/v2020-other-PL/6b1c/6b1c_ligand.mol2
6b1c_ligand.sdf,6b1c_ligand,6b1c,sdf,../data/v2020-other-PL/6b1c/6b1c_ligand.sdf
6h41_ligand.sdf,6h41_ligand,6h41,sdf,../data/v2020-other-PL/6h41/6h41_ligand.sdf
6h41_ligand.mol2,6h41_ligand,6h41,mol2,../data/v2020-other-PL/6h41/6h41_ligand.mol2
3irx_ligand.mol2,3irx_ligand,3irx,mol2,../data/v2020-other-PL/3irx/3irx_ligand.mol2
3irx_ligand.sdf,3irx_ligand,3irx,sdf,../data/v2020-other-PL/3irx/3irx_ligand.sdf
4fea_ligand.mol2,4fea_ligand,4fea,mol2,../data/v2020-other-PL/4fea/4fea_ligand.mol2
4fea_ligand.sdf,4fea_ligand,4fea,sdf,../data/v2020-other-PL/4fea/4fea_ligand.sdf
4j1p_ligand.sdf,4j1p_ligand,4j1p,sdf,../data/v2020-other-PL/4j1p/4j1p_ligand.sdf
4j1p_ligand.mol2,4j1p_ligand,4j1p,mol2,../data/v2020-other-PL/4j1p/4j1p_ligand.mol2
5ale_ligand.mol2,5ale_ligand,5ale,mol2,../data/v2020-other-PL/5ale/5ale_ligand.mol2
5ale_ligand.sdf,5ale_ligand,5ale,sdf,../data/v2020-other-PL/5ale/5ale_ligand.sdf
6imr_ligand.sdf,6imr_ligand,6imr,sdf,../data/v2020-other-PL/6imr/6imr_ligand.sdf
6imr_ligand.mol2,6imr_ligand,6imr,mol2,../data/v2020-other-PL/6imr/6imr_ligand.mol2
5xij_ligand.mol2,5xij_ligand,5xij,mol2,../data/v2020-other-PL/5xij/5xij_ligand.mol2
5xij_ligand.sdf,5xij_ligand,5xij,sdf,../data/v2020-other-PL/5xij/5xij_ligand.sdf
1qnh_ligand.mol2,1qnh_ligand,1qnh,mol2,../data/v2020-other-PL/1qnh/1qnh_ligand.mol2
1qnh_ligand.sdf,1qnh_ligand,1qnh,sdf,../data/v2020-other-PL/1qnh/1qnh_ligand.sdf
3tvw_ligand.mol2,3tvw_ligand,3tvw,mol2,../data/v2020-other-PL/3tvw/3tvw_ligand.mol2
3tvw_ligand.sdf,3tvw_ligand,3tvw,sdf,../data/v2020-other-PL/3tvw/3tvw_ligand.sdf
2l8j_ligand.mol2,2l8j_ligand,2l8j,mol2,../data/v2020-other-PL/2l8j/2l8j_ligand.mol2
2l8j_ligand.sdf,2l8j_ligand,2l8j,sdf,../data/v2020-other-PL/2l8j/2l8j_ligand.sdf
4l7j_ligand.sdf,4l7j_ligand,4l7j,sdf,../data/v2020-other-PL/4l7j/4l7j_ligand.sdf
4l7j_ligand.mol2,4l7j_ligand,4l7j,mol2,../data/v2020-other-PL/4l7j/4l7j_ligand.mol2
5f94_ligand.sdf,5f94_ligand,5f94,sdf,../data/v2020-other-PL/5f94/5f94_ligand.sdf
5f94_ligand.mol2,5f94_ligand,5f94,mol2,../data/v2020-other-PL/5f94/5f94_ligand.mol2
4ycw_ligand.sdf,4ycw_ligand,4ycw,sdf,../data/v2020-other-PL/4ycw/4ycw_ligand.sdf
4ycw_ligand.mol2,4ycw_ligand,4ycw,mol2,../data/v2020-other-PL/4ycw/4ycw_ligand.mol2
1riw_ligand.mol2,1riw_ligand,1riw,mol2,../data/v2020-other-PL/1riw/1riw_ligand.mol2
1riw_ligand.sdf,1riw_ligand,1riw,sdf,../data/v2020-other-PL/1riw/1riw_ligand.sdf
3pup_ligand.mol2,3pup_ligand,3pup,mol2,../data/v2020-other-PL/3pup/3pup_ligand.mol2
3pup_ligand.sdf,3pup_ligand,3pup,sdf,../data/v2020-other-PL/3pup/3pup_ligand.sdf
5ue4_ligand.mol2,5ue4_ligand,5ue4,mol2,../data/v2020-other-PL/5ue4/5ue4_ligand.mol2
5ue4_ligand.sdf,5ue4_ligand,5ue4,sdf,../data/v2020-other-PL/5ue4/5ue4_ligand.sdf
5aeh_ligand.mol2,5aeh_ligand,5aeh,mol2,../data/v2020-other-PL/5aeh/5aeh_ligand.mol2
5aeh_ligand.sdf,5aeh_ligand,5aeh,sdf,../data/v2020-other-PL/5aeh/5aeh_ligand.sdf
3igg_ligand.mol2,3igg_ligand,3igg,mol2,../data/v2020-other-PL/3igg/3igg_ligand.mol2
3igg_ligand.sdf,3igg_ligand,3igg,sdf,../data/v2020-other-PL/3igg/3igg_ligand.sdf
2wtd_ligand.sdf,2wtd_ligand,2wtd,sdf,../data/v2020-other-PL/2wtd/2wtd_ligand.sdf
2wtd_ligand.mol2,2wtd_ligand,2wtd,mol2,../data/v2020-other-PL/2wtd/2wtd_ligand.mol2
3l7a_ligand.sdf,3l7a_ligand,3l7a,sdf,../data/v2020-other-PL/3l7a/3l7a_ligand.sdf
3l7a_ligand.mol2,3l7a_ligand,3l7a,mol2,../data/v2020-other-PL/3l7a/3l7a_ligand.mol2
2b8v_ligand.sdf,2b8v_ligand,2b8v,sdf,../data/v2020-other-PL/2b8v/2b8v_ligand.sdf
2b8v_ligand.mol2,2b8v_ligand,2b8v,mol2,../data/v2020-other-PL/2b8v/2b8v_ligand.mol2
3bel_ligand.sdf,3bel_ligand,3bel,sdf,../data/v2020-other-PL/3bel/3bel_ligand.sdf
3bel_ligand.mol2,3bel_ligand,3bel,mol2,../data/v2020-other-PL/3bel/3bel_ligand.mol2
4x34_ligand.sdf,4x34_ligand,4x34,sdf,../data/v2020-other-PL/4x34/4x34_ligand.sdf
4x34_ligand.mol2,4x34_ligand,4x34,mol2,../data/v2020-other-PL/4x34/4x34_ligand.mol2
5g3m_ligand.mol2,5g3m_ligand,5g3m,mol2,../data/v2020-other-PL/5g3m/5g3m_ligand.mol2
5g3m_ligand.sdf,5g3m_ligand,5g3m,sdf,../data/v2020-other-PL/5g3m/5g3m_ligand.sdf
3eyu_ligand.sdf,3eyu_ligand,3eyu,sdf,../data/v2020-other-PL/3eyu/3eyu_ligand.sdf
3eyu_ligand.mol2,3eyu_ligand,3eyu,mol2,../data/v2020-other-PL/3eyu/3eyu_ligand.mol2
4o2e_ligand.mol2,4o2e_ligand,4o2e,mol2,../data/v2020-other-PL/4o2e/4o2e_ligand.mol2
4o2e_ligand.sdf,4o2e_ligand,4o2e,sdf,../data/v2020-other-PL/4o2e/4o2e_ligand.sdf
3ivh_ligand.mol2,3ivh_ligand,3ivh,mol2,../data/v2020-other-PL/3ivh/3ivh_ligand.mol2
3ivh_ligand.sdf,3ivh_ligand,3ivh,sdf,../data/v2020-other-PL/3ivh/3ivh_ligand.sdf
3hdk_ligand.sdf,3hdk_ligand,3hdk,sdf,../data/v2020-other-PL/3hdk/3hdk_ligand.sdf
3hdk_ligand.mol2,3hdk_ligand,3hdk,mol2,../data/v2020-other-PL/3hdk/3hdk_ligand.mol2
4r5v_ligand.mol2,4r5v_ligand,4r5v,mol2,../data/v2020-other-PL/4r5v/4r5v_ligand.mol2
4r5v_ligand.sdf,4r5v_ligand,4r5v,sdf,../data/v2020-other-PL/4r5v/4r5v_ligand.sdf
6e06_ligand.mol2,6e06_ligand,6e06,mol2,../data/v2020-other-PL/6e06/6e06_ligand.mol2
6e06_ligand.sdf,6e06_ligand,6e06,sdf,../data/v2020-other-PL/6e06/6e06_ligand.sdf
4yve_ligand.sdf,4yve_ligand,4yve,sdf,../data/v2020-other-PL/4yve/4yve_ligand.sdf
4yve_ligand.mol2,4yve_ligand,4yve,mol2,../data/v2020-other-PL/4yve/4yve_ligand.mol2
5c26_ligand.sdf,5c26_ligand,5c26,sdf,../data/v2020-other-PL/5c26/5c26_ligand.sdf
5c26_ligand.mol2,5c26_ligand,5c26,mol2,../data/v2020-other-PL/5c26/5c26_ligand.mol2
4uva_ligand.sdf,4uva_ligand,4uva,sdf,../data/v2020-other-PL/4uva/4uva_ligand.sdf
4uva_ligand.mol2,4uva_ligand,4uva,mol2,../data/v2020-other-PL/4uva/4uva_ligand.mol2
4qgf_ligand.sdf,4qgf_ligand,4qgf,sdf,../data/v2020-other-PL/4qgf/4qgf_ligand.sdf
4qgf_ligand.mol2,4qgf_ligand,4qgf,mol2,../data/v2020-other-PL/4qgf/4qgf_ligand.mol2
4rrn_ligand.mol2,4rrn_ligand,4rrn,mol2,../data/v2020-other-PL/4rrn/4rrn_ligand.mol2
4rrn_ligand.sdf,4rrn_ligand,4rrn,sdf,../data/v2020-other-PL/4rrn/4rrn_ligand.sdf
6qyk_ligand.mol2,6qyk_ligand,6qyk,mol2,../data/v2020-other-PL/6qyk/6qyk_ligand.mol2
6qyk_ligand.sdf,6qyk_ligand,6qyk,sdf,../data/v2020-other-PL/6qyk/6qyk_ligand.sdf
6c5k_ligand.mol2,6c5k_ligand,6c5k,mol2,../data/v2020-other-PL/6c5k/6c5k_ligand.mol2
6c5k_ligand.sdf,6c5k_ligand,6c5k,sdf,../data/v2020-other-PL/6c5k/6c5k_ligand.sdf
3fcf_ligand.mol2,3fcf_ligand,3fcf,mol2,../data/v2020-other-PL/3fcf/3fcf_ligand.mol2
3fcf_ligand.sdf,3fcf_ligand,3fcf,sdf,../data/v2020-other-PL/3fcf/3fcf_ligand.sdf
3wc5_ligand.mol2,3wc5_ligand,3wc5,mol2,../data/v2020-other-PL/3wc5/3wc5_ligand.mol2
3wc5_ligand.sdf,3wc5_ligand,3wc5,sdf,../data/v2020-other-PL/3wc5/3wc5_ligand.sdf
1p01_ligand.sdf,1p01_ligand,1p01,sdf,../data/v2020-other-PL/1p01/1p01_ligand.sdf
1p01_ligand.mol2,1p01_ligand,1p01,mol2,../data/v2020-other-PL/1p01/1p01_ligand.mol2
1avd_ligand.sdf,1avd_ligand,1avd,sdf,../data/v2020-other-PL/1avd/1avd_ligand.sdf
1avd_ligand.mol2,1avd_ligand,1avd,mol2,../data/v2020-other-PL/1avd/1avd_ligand.mol2
4rcp_ligand.sdf,4rcp_ligand,4rcp,sdf,../data/v2020-other-PL/4rcp/4rcp_ligand.sdf
4rcp_ligand.mol2,4rcp_ligand,4rcp,mol2,../data/v2020-other-PL/4rcp/4rcp_ligand.mol2
2xbj_ligand.sdf,2xbj_ligand,2xbj,sdf,../data/v2020-other-PL/2xbj/2xbj_ligand.sdf
2xbj_ligand.mol2,2xbj_ligand,2xbj,mol2,../data/v2020-other-PL/2xbj/2xbj_ligand.mol2
2oic_ligand.sdf,2oic_ligand,2oic,sdf,../data/v2020-other-PL/2oic/2oic_ligand.sdf
2oic_ligand.mol2,2oic_ligand,2oic,mol2,../data/v2020-other-PL/2oic/2oic_ligand.mol2
4rvk_ligand.mol2,4rvk_ligand,4rvk,mol2,../data/v2020-other-PL/4rvk/4rvk_ligand.mol2
4rvk_ligand.sdf,4rvk_ligand,4rvk,sdf,../data/v2020-other-PL/4rvk/4rvk_ligand.sdf
4uau_ligand.mol2,4uau_ligand,4uau,mol2,../data/v2020-other-PL/4uau/4uau_ligand.mol2
4uau_ligand.sdf,4uau_ligand,4uau,sdf,../data/v2020-other-PL/4uau/4uau_ligand.sdf
4p0b_ligand.sdf,4p0b_ligand,4p0b,sdf,../data/v2020-other-PL/4p0b/4p0b_ligand.sdf
4p0b_ligand.mol2,4p0b_ligand,4p0b,mol2,../data/v2020-other-PL/4p0b/4p0b_ligand.mol2
4n8e_ligand.sdf,4n8e_ligand,4n8e,sdf,../data/v2020-other-PL/4n8e/4n8e_ligand.sdf
4n8e_ligand.mol2,4n8e_ligand,4n8e,mol2,../data/v2020-other-PL/4n8e/4n8e_ligand.mol2
1gjd_ligand.sdf,1gjd_ligand,1gjd,sdf,../data/v2020-other-PL/1gjd/1gjd_ligand.sdf
1gjd_ligand.mol2,1gjd_ligand,1gjd,mol2,../data/v2020-other-PL/1gjd/1gjd_ligand.mol2
4c3k_ligand.sdf,4c3k_ligand,4c3k,sdf,../data/v2020-other-PL/4c3k/4c3k_ligand.sdf
4c3k_ligand.mol2,4c3k_ligand,4c3k,mol2,../data/v2020-other-PL/4c3k/4c3k_ligand.mol2
3ty0_ligand.mol2,3ty0_ligand,3ty0,mol2,../data/v2020-other-PL/3ty0/3ty0_ligand.mol2
3ty0_ligand.sdf,3ty0_ligand,3ty0,sdf,../data/v2020-other-PL/3ty0/3ty0_ligand.sdf
6n54_ligand.mol2,6n54_ligand,6n54,mol2,../data/v2020-other-PL/6n54/6n54_ligand.mol2
6n54_ligand.sdf,6n54_ligand,6n54,sdf,../data/v2020-other-PL/6n54/6n54_ligand.sdf
4cpu_ligand.mol2,4cpu_ligand,4cpu,mol2,../data/v2020-other-PL/4cpu/4cpu_ligand.mol2
4cpu_ligand.sdf,4cpu_ligand,4cpu,sdf,../data/v2020-other-PL/4cpu/4cpu_ligand.sdf
3l3z_ligand.mol2,3l3z_ligand,3l3z,mol2,../data/v2020-other-PL/3l3z/3l3z_ligand.mol2
3l3z_ligand.sdf,3l3z_ligand,3l3z,sdf,../data/v2020-other-PL/3l3z/3l3z_ligand.sdf
3u7m_ligand.mol2,3u7m_ligand,3u7m,mol2,../data/v2020-other-PL/3u7m/3u7m_ligand.mol2
3u7m_ligand.sdf,3u7m_ligand,3u7m,sdf,../data/v2020-other-PL/3u7m/3u7m_ligand.sdf
3lc5_ligand.sdf,3lc5_ligand,3lc5,sdf,../data/v2020-other-PL/3lc5/3lc5_ligand.sdf
3lc5_ligand.mol2,3lc5_ligand,3lc5,mol2,../data/v2020-other-PL/3lc5/3lc5_ligand.mol2
3vjk_ligand.mol2,3vjk_ligand,3vjk,mol2,../data/v2020-other-PL/3vjk/3vjk_ligand.mol2
3vjk_ligand.sdf,3vjk_ligand,3vjk,sdf,../data/v2020-other-PL/3vjk/3vjk_ligand.sdf
4li7_ligand.sdf,4li7_ligand,4li7,sdf,../data/v2020-other-PL/4li7/4li7_ligand.sdf
4li7_ligand.mol2,4li7_ligand,4li7,mol2,../data/v2020-other-PL/4li7/4li7_ligand.mol2
6ccx_ligand.mol2,6ccx_ligand,6ccx,mol2,../data/v2020-other-PL/6ccx/6ccx_ligand.mol2
6ccx_ligand.sdf,6ccx_ligand,6ccx,sdf,../data/v2020-other-PL/6ccx/6ccx_ligand.sdf
3ljt_ligand.mol2,3ljt_ligand,3ljt,mol2,../data/v2020-other-PL/3ljt/3ljt_ligand.mol2
3ljt_ligand.sdf,3ljt_ligand,3ljt,sdf,../data/v2020-other-PL/3ljt/3ljt_ligand.sdf
1e03_ligand.sdf,1e03_ligand,1e03,sdf,../data/v2020-other-PL/1e03/1e03_ligand.sdf
1e03_ligand.mol2,1e03_ligand,1e03,mol2,../data/v2020-other-PL/1e03/1e03_ligand.mol2
3le8_ligand.mol2,3le8_ligand,3le8,mol2,../data/v2020-other-PL/3le8/3le8_ligand.mol2
3le8_ligand.sdf,3le8_ligand,3le8,sdf,../data/v2020-other-PL/3le8/3le8_ligand.sdf
4bdh_ligand.sdf,4bdh_ligand,4bdh,sdf,../data/v2020-other-PL/4bdh/4bdh_ligand.sdf
4bdh_ligand.mol2,4bdh_ligand,4bdh,mol2,../data/v2020-other-PL/4bdh/4bdh_ligand.mol2
5q1i_ligand.mol2,5q1i_ligand,5q1i,mol2,../data/v2020-other-PL/5q1i/5q1i_ligand.mol2
5q1i_ligand.sdf,5q1i_ligand,5q1i,sdf,../data/v2020-other-PL/5q1i/5q1i_ligand.sdf
6djj_ligand.sdf,6djj_ligand,6djj,sdf,../data/v2020-other-PL/6djj/6djj_ligand.sdf
6djj_ligand.mol2,6djj_ligand,6djj,mol2,../data/v2020-other-PL/6djj/6djj_ligand.mol2
1ke8_ligand.mol2,1ke8_ligand,1ke8,mol2,../data/v2020-other-PL/1ke8/1ke8_ligand.mol2
1ke8_ligand.sdf,1ke8_ligand,1ke8,sdf,../data/v2020-other-PL/1ke8/1ke8_ligand.sdf
4zuo_ligand.sdf,4zuo_ligand,4zuo,sdf,../data/v2020-other-PL/4zuo/4zuo_ligand.sdf
4zuo_ligand.mol2,4zuo_ligand,4zuo,mol2,../data/v2020-other-PL/4zuo/4zuo_ligand.mol2
6dxl_ligand.mol2,6dxl_ligand,6dxl,mol2,../data/v2020-other-PL/6dxl/6dxl_ligand.mol2
6dxl_ligand.sdf,6dxl_ligand,6dxl,sdf,../data/v2020-other-PL/6dxl/6dxl_ligand.sdf
6dih_ligand.mol2,6dih_ligand,6dih,mol2,../data/v2020-other-PL/6dih/6dih_ligand.mol2
6dih_ligand.sdf,6dih_ligand,6dih,sdf,../data/v2020-other-PL/6dih/6dih_ligand.sdf
5akh_ligand.sdf,5akh_ligand,5akh,sdf,../data/v2020-other-PL/5akh/5akh_ligand.sdf
5akh_ligand.mol2,5akh_ligand,5akh,mol2,../data/v2020-other-PL/5akh/5akh_ligand.mol2
3zcz_ligand.mol2,3zcz_ligand,3zcz,mol2,../data/v2020-other-PL/3zcz/3zcz_ligand.mol2
3zcz_ligand.sdf,3zcz_ligand,3zcz,sdf,../data/v2020-other-PL/3zcz/3zcz_ligand.sdf
3pkn_ligand.mol2,3pkn_ligand,3pkn,mol2,../data/v2020-other-PL/3pkn/3pkn_ligand.mol2
3pkn_ligand.sdf,3pkn_ligand,3pkn,sdf,../data/v2020-other-PL/3pkn/3pkn_ligand.sdf
1o2s_ligand.mol2,1o2s_ligand,1o2s,mol2,../data/v2020-other-PL/1o2s/1o2s_ligand.mol2
1o2s_ligand.sdf,1o2s_ligand,1o2s,sdf,../data/v2020-other-PL/1o2s/1o2s_ligand.sdf
2ay8_ligand.mol2,2ay8_ligand,2ay8,mol2,../data/v2020-other-PL/2ay8/2ay8_ligand.mol2
2ay8_ligand.sdf,2ay8_ligand,2ay8,sdf,../data/v2020-other-PL/2ay8/2ay8_ligand.sdf
3qo9_ligand.mol2,3qo9_ligand,3qo9,mol2,../data/v2020-other-PL/3qo9/3qo9_ligand.mol2
3qo9_ligand.sdf,3qo9_ligand,3qo9,sdf,../data/v2020-other-PL/3qo9/3qo9_ligand.sdf
5cgv_ligand.mol2,5cgv_ligand,5cgv,mol2,../data/v2020-other-PL/5cgv/5cgv_ligand.mol2
5cgv_ligand.sdf,5cgv_ligand,5cgv,sdf,../data/v2020-other-PL/5cgv/5cgv_ligand.sdf
3hvk_ligand.sdf,3hvk_ligand,3hvk,sdf,../data/v2020-other-PL/3hvk/3hvk_ligand.sdf
3hvk_ligand.mol2,3hvk_ligand,3hvk,mol2,../data/v2020-other-PL/3hvk/3hvk_ligand.mol2
3rsr_ligand.mol2,3rsr_ligand,3rsr,mol2,../data/v2020-other-PL/3rsr/3rsr_ligand.mol2
3rsr_ligand.sdf,3rsr_ligand,3rsr,sdf,../data/v2020-other-PL/3rsr/3rsr_ligand.sdf
2wic_ligand.mol2,2wic_ligand,2wic,mol2,../data/v2020-other-PL/2wic/2wic_ligand.mol2
2wic_ligand.sdf,2wic_ligand,2wic,sdf,../data/v2020-other-PL/2wic/2wic_ligand.sdf
1n0t_ligand.mol2,1n0t_ligand,1n0t,mol2,../data/v2020-other-PL/1n0t/1n0t_ligand.mol2
1n0t_ligand.sdf,1n0t_ligand,1n0t,sdf,../data/v2020-other-PL/1n0t/1n0t_ligand.sdf
2w6u_ligand.mol2,2w6u_ligand,2w6u,mol2,../data/v2020-other-PL/2w6u/2w6u_ligand.mol2
2w6u_ligand.sdf,2w6u_ligand,2w6u,sdf,../data/v2020-other-PL/2w6u/2w6u_ligand.sdf
2r4f_ligand.mol2,2r4f_ligand,2r4f,mol2,../data/v2020-other-PL/2r4f/2r4f_ligand.mol2
2r4f_ligand.sdf,2r4f_ligand,2r4f,sdf,../data/v2020-other-PL/2r4f/2r4f_ligand.sdf
3avz_ligand.mol2,3avz_ligand,3avz,mol2,../data/v2020-other-PL/3avz/3avz_ligand.mol2
3avz_ligand.sdf,3avz_ligand,3avz,sdf,../data/v2020-other-PL/3avz/3avz_ligand.sdf
5iql_ligand.mol2,5iql_ligand,5iql,mol2,../data/v2020-other-PL/5iql/5iql_ligand.mol2
5iql_ligand.sdf,5iql_ligand,5iql,sdf,../data/v2020-other-PL/5iql/5iql_ligand.sdf
5a2s_ligand.mol2,5a2s_ligand,5a2s,mol2,../data/v2020-other-PL/5a2s/5a2s_ligand.mol2
5a2s_ligand.sdf,5a2s_ligand,5a2s,sdf,../data/v2020-other-PL/5a2s/5a2s_ligand.sdf
6mr5_ligand.mol2,6mr5_ligand,6mr5,mol2,../data/v2020-other-PL/6mr5/6mr5_ligand.mol2
6mr5_ligand.sdf,6mr5_ligand,6mr5,sdf,../data/v2020-other-PL/6mr5/6mr5_ligand.sdf
2w76_ligand.mol2,2w76_ligand,2w76,mol2,../data/v2020-other-PL/2w76/2w76_ligand.mol2
2w76_ligand.sdf,2w76_ligand,2w76,sdf,../data/v2020-other-PL/2w76/2w76_ligand.sdf
4yjl_ligand.sdf,4yjl_ligand,4yjl,sdf,../data/v2020-other-PL/4yjl/4yjl_ligand.sdf
4yjl_ligand.mol2,4yjl_ligand,4yjl,mol2,../data/v2020-other-PL/4yjl/4yjl_ligand.mol2
2vnn_ligand.mol2,2vnn_ligand,2vnn,mol2,../data/v2020-other-PL/2vnn/2vnn_ligand.mol2
2vnn_ligand.sdf,2vnn_ligand,2vnn,sdf,../data/v2020-other-PL/2vnn/2vnn_ligand.sdf
3qi1_ligand.mol2,3qi1_ligand,3qi1,mol2,../data/v2020-other-PL/3qi1/3qi1_ligand.mol2
3qi1_ligand.sdf,3qi1_ligand,3qi1,sdf,../data/v2020-other-PL/3qi1/3qi1_ligand.sdf
