,ligand_name,pdb_name,smiles,rot_bonds,n_atoms,arom_rings,amide_bonds
10743,4whq_ligand,4whq,Oc1ccc(F)cc1O,0,14,1,0
11512,3fw4_ligand,3fw4,Oc1ccccc1O,0,14,1,0
11849,2osm_ligand,2osm,Oc1ccccc1S,0,14,1,0
12129,1tc1_ligand,1tc1,O=c1[nH]cnc2cn[nH]c12,0,14,2,0
12254,4qp6_ligand,4qp6,c1cnc2[nH]ccc2n1,0,14,2,0
12637,5moo_ligand,5moo,Nc1ccccc1,0,14,1,0
12727,4wh7_ligand,4wh7,N#Cc1ccc(O)cc1F,0,14,1,0
12990,4lbp_ligand,4lbp,O=C1C=C(O)C(=O)C=C1O,0,14,0,0
13107,3nrz_ligand,3nrz,O=c1nc[nH]c2nc[nH]c12,0,14,2,0
13260,4whr_ligand,4whr,Oc1ccc(F)cc1O,0,14,1,0
7,2pqj_ligand,2pqj,Nc1ncnc2[nH]cnc12,0,15,2,0
791,5acw_ligand,5acw,Cn1c(S)nnc1C(F)(F)F,0,15,1,0
2669,2vta_ligand,2vta,c1ccc2n[nH]cc2c1,0,15,2,0
2926,4egi_ligand,4egi,[H]/N=c1\nc(C)[nH]c(=S)[nH]1,0,15,1,0
4060,2vtm_ligand,2vtm,N#Cc1cnn2cccnc12,0,15,2,0
4367,2br6_ligand,2br6,[NH3+][C@H]1CCOC1=O,0,15,0,0
5609,5nzp_ligand,5nzp,O=c1[nH]oc2ccccc12,0,15,2,0
6248,2osf_ligand,2osf,Oc1ccc(S)c(O)c1,0,15,1,0
7363,5thj_ligand,5thj,O=c1cccccc1O,0,15,1,0
8260,2p8n_ligand,2p8n,Nc1ncnc2[nH]cnc12,0,15,2,0
8703,5thi_ligand,5thi,O=c1cccccc1O,0,15,1,0
9494,3kqw_ligand,3kqw,Clc1ccc2nc[nH]c2c1,0,15,2,0
10014,5wg7_ligand,5wg7,CC1=CC(=O)NS(=O)(=O)O1,0,15,0,1
10020,1i80_ligand,1i80,O=c1[nH]cnc2cc[nH]c12,0,15,2,0
10212,4ctk_ligand,4ctk,Nc1csc2nccnc12,0,15,2,0
10840,3jqf_ligand,3jqf,Nc1nc(N)nc(N)n1,0,15,1,0
11624,4kab_ligand,4kab,Cc1n[nH]c2cn[nH]c12,0,15,2,0
13382,5iu6_ligand,5iu6,O=c1[nH]cnc2[nH]ccc12,0,15,2,0
13424,4w53_ligand,4w53,Cc1ccccc1,0,15,1,0
13589,5hcl_ligand,5hcl,CC(=O)N(C)C,0,15,0,1
13856,3kpv_ligand,3kpv,Nc1ncnc2[nH]cnc12,0,15,2,0
592,5e3d_ligand,5e3d,O=c1[nH]c(=S)[nH]c2[nH]c(S)nc12,0,16,2,0
1526,3ao1_ligand,3ao1,Oc1ccc2c(c1)OCO2,0,16,1,0
2263,3fuf_ligand,3fuf,Fc1ccc2[nH]ccc2c1,0,16,2,0
2408,3p1d_ligand,3p1d,CN1CCCC1=O,0,16,0,1
2469,6bky_ligand,6bky,O=c1[nH]c2c(Br)c(Br)c(Br)c(Br)c2[nH]1,0,16,2,0
3202,2iu0_ligand,2iu0,O=C1NS(=O)(=O)Nc2nc[nH]c21,0,16,1,1
4123,5kbg_ligand,5kbg,Cc1ccccc1O,0,16,1,0
5991,3jqa_ligand,3jqa,Nc1nc(S)c2nc[nH]c2n1,0,16,2,0
6106,3fue_ligand,3fue,Clc1ccc2[nH]ccc2c1,0,16,2,0
9940,1l5s_ligand,1l5s,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,0,16,2,0
10718,3mct_ligand,3mct,Cn1c(N)ccnc1=O,0,16,1,0
10803,1v41_ligand,1v41,[NH2+]=c1[nH]c(=O)c2[nH]nnc2[nH]1,0,16,2,0
10950,1il5_ligand,1il5,Nc1nc(O)c(N)c(O)n1,0,16,1,0
11227,4ty9_ligand,4ty9,Nc1ccc(C(F)(F)F)cn1,0,16,1,0
11230,2izx_ligand,2izx,O[C@H]1CSSC[C@@H]1O,0,16,0,0
11462,1bky_ligand,1bky,Cn1ccc(N)nc1=O,0,16,1,0
11525,5e3g_ligand,5e3g,O=c1[nH]c2[nH]c(=S)[nH]c(=O)c2[nH]1,0,16,2,0
12620,5f37_ligand,5f37,O=c1[nH]cnc2cnccc12,0,16,2,0
564,4k5z_ligand,4k5z,O=C1NCc2ccc(Cl)cc21,0,17,1,1
1068,5ai6_ligand,5ai6,Brc1cccc2ncccc12,0,17,2,0
1196,3kr1_ligand,3kr1,Nc1nc2ccc(Cl)cc2[nH]1,0,17,2,0
1501,3nus_ligand,3nus,Nc1[nH]nc2ccccc12,0,17,2,0
2147,5akk_ligand,5akk,O=C1Cc2ccc(Br)cc2N1,0,17,1,1
2434,5thn_ligand,5thn,OC1C=CC=CC=C1S,0,17,0,0
2937,3fuh_ligand,3fuh,Oc1ccc2[nH]ccc2c1,0,17,2,0
3341,4k2y_ligand,4k2y,O=C1Cc2ccc(Cl)cc2N1,0,17,1,1
3643,4mlt_ligand,4mlt,CC1OC=CC(S)C1=O,0,17,0,0
3985,4m5m_ligand,4m5m,[NH2+]=c1[nH]c(=S)c2[nH]cnc2[nH]1,0,17,2,0
4220,5aqj_ligand,5aqj,Nc1nc2ncnc(N)c2[nH]1,0,17,2,0
4777,2wd7_ligand,2wd7,Nc1nc2ccc(Cl)cc2[nH]1,0,17,2,0
5509,4mlx_ligand,4mlx,CC1C=C(S)C(=O)CO1,0,17,0,0
6289,4k60_ligand,4k60,O=C1Cc2ccc(Br)cc2N1,0,17,1,1
6310,4m5n_ligand,4m5n,[NH2+]=c1[nH]c(=S)[nH]c2[nH]cnc12,0,17,2,0
7021,1il4_ligand,1il4,Nc1nc2cc[nH]c2c(=O)[nH]1,0,17,2,0
7970,3kr2_ligand,3kr2,Nc1nc2cc(F)ccc2[nH]1,0,17,2,0
8744,1il3_ligand,1il3,Nc1nc2[nH]ccc2c(=O)[nH]1,0,17,2,0
9190,1fsg_ligand,1fsg,Nc1nc2cc[nH]c2c(=O)[nH]1,0,17,2,0
10137,4b6e_ligand,4b6e,Nc1cccc2cn[nH]c12,0,17,2,0
11019,1v2h_ligand,1v2h,[NH2+]=c1[nH]c(=O)c2[nH]cnc2[nH]1,0,17,2,0
11214,3e62_ligand,3e62,Nc1[nH]nc2ccc(Br)cc12,0,17,2,0
12223,4pnn_ligand,4pnn,O=c1[nH]cnc2ccccc12,0,17,2,0
12495,6pii_ligand,6pii,[NH2+]=c1[nH]c(=O)c2[nH]cnc2[nH]1,0,17,2,0
12501,3h2c_ligand,3h2c,Nc1nnc(N)c2[nH]cnc12,0,17,2,0
12835,3nuy_ligand,3nuy,O=c1[nH]cnc2ccccc12,0,17,2,0
157,3zly_ligand,3zly,N#Cc1cccc2n[nH]c(N)c12,0,18,2,0
1150,5ewh_ligand,5ewh,Oc1cccc2cnccc12,0,18,2,0
1299,3kr0_ligand,3kr0,Nc1nc2ccc(O)cc2[nH]1,0,18,2,0
2436,6n69_ligand,6n69,N#Cc1cnc2ccccc2c1,0,18,2,0
3536,6af9_ligand,6af9,O=C1Nc2ccccc2[C@@H]1O,0,18,1,1
3552,3vbx_ligand,3vbx,O=C1CC(=O)c2cc(Br)ccc2O1,0,18,1,0
3604,3kpu_ligand,3kpu,Oc1ccnc2ccccc12,0,18,2,0
3813,2qfo_ligand,2qfo,Cc1cc(C(F)(F)F)nc(N)n1,0,18,1,0
4129,6afc_ligand,6afc,O=C1Nc2ccc(F)cc2[C@@H]1O,0,18,1,1
4164,3srg_ligand,3srg,O=c1ccc2ccccc2[nH]1,0,18,2,0
4686,3d1v_ligand,3d1v,O=c1[nH]c(=S)[nH]c2ccccc12,0,18,2,0
4789,3deh_ligand,3deh,O=C1NC(=O)c2ccccc2C1=O,0,18,1,2
6686,5c87_ligand,5c87,O=c1[nH]ccc2ccccc12,0,18,2,0
6762,4bda_ligand,4bda,c1ccc2c(c1)nc1[nH]cnn12,0,18,3,0
8222,1il9_ligand,1il9,Cc1nc2c(=O)[nH]c(N)nc2o1,0,18,2,0
8275,3kqy_ligand,3kqy,Nc1nc2c(O)cccc2[nH]1,0,18,2,0
8637,5aib_ligand,5aib,O=C1COc2ccc(Cl)cc2N1,0,18,1,1
8884,5vkf_ligand,5vkf,c1ccc2ccccc2c1,0,18,2,0
9076,3vbw_ligand,3vbw,N#CC1C(=O)c2ccccc2C1=O,0,18,1,0
9647,3kqs_ligand,3kqs,[NH2+]=c1[nH]c2ccccc2[nH]1,0,18,2,0
9785,3iny_ligand,3iny,[NH2+]=c1[nH]c(=O)c2cc[nH]c2[nH]1,0,18,2,0
10440,1fv9_ligand,1fv9,Nc1nc2ccc(O)cc2[nH]1,0,18,2,0
12244,5aqp_ligand,5aqp,Nc1ncnc2ccccc12,0,18,2,0
12289,6afa_ligand,6afa,O=C1Nc2ccccc2[C@@H]1O,0,18,1,1
12344,4bnt_ligand,4bnt,FC(F)(F)c1nc2ccccc2[nH]1,0,18,2,0
13490,5em3_ligand,5em3,Oc1cccc2ncccc12,0,18,2,0
13703,1pu8_ligand,1pu8,c1nc2nc[n+]3cc[nH]c3c2[nH]1,0,18,3,0
6,1p7m_ligand,1p7m,C[n+]1cnc(N)c2[nH]cnc21,0,19,2,0
447,4ypf_ligand,4ypf,Nc1cnc2ccccc2c1,0,19,2,0
627,3kqp_ligand,3kqp,Nc1ccc2ncccc2c1,0,19,2,0
642,6ugq_ligand,6ugq,O=C1Nc2c(Cl)cccc2S(=O)(=O)N1,0,19,1,2
1139,3f38_ligand,3f38,Cc1cccc(C)c1O,0,19,1,0
1601,3kpw_ligand,3kpw,Nc1nccc2ccccc12,0,19,2,0
1957,5mkx_ligand,5mkx,C/N=C1\C=NN(C)C(=O)C1Cl,0,19,0,1
1973,4pnt_ligand,4pnt,O=c1[nH]ccc2c(O)cccc12,0,19,2,0
2680,5mli_ligand,5mli,C/N=C1\C=NN(C)C(=O)C1Cl,0,19,0,1
3288,5i40_ligand,5i40,Cn1ccc2cc[nH]c2c1=O,0,19,2,0
3331,4i47_ligand,4i47,Cn1cnc2nc(N)[nH]c(=O)c21,0,19,2,0
3631,5ai8_ligand,5ai8,Cc1ccc2nc(N)sc2c1,0,19,2,0
3674,4yuy_ligand,4yuy,Nc1nccc2ccccc12,0,19,2,0
4029,4mrh_ligand,4mrh,Cc1cc(N)c(N)cc1Cl,0,19,1,0
4444,3wk8_ligand,3wk8,Nc1nc2ccc(C(F)(F)F)cc2s1,0,19,2,0
4524,6gmx_ligand,6gmx,O=C1CCSc2ccc(Cl)cc21,0,19,1,0
6883,5sxk_ligand,5sxk,Cc1c(N)cccc1N,0,19,1,0
8429,4pns_ligand,4pns,Nc1ccc2oc(=O)ccc2c1I,0,19,2,0
8439,2ohl_ligand,2ohl,Nc1ccc2ccccc2n1,0,19,2,0
9038,6ccs_ligand,6ccs,Oc1cccc2nc(C(F)(F)F)[nH]c12,0,19,2,0
9163,2ohk_ligand,2ohk,Nc1nccc2ccccc12,0,19,2,0
9222,4bi2_ligand,4bi2,c1cc2c(cn1)cnc1sccc12,0,19,3,0
10398,5eiw_ligand,5eiw,Nc1ccc(C(F)(F)F)cc1N,0,19,1,0
10557,1b42_ligand,1b42,C[n+]1cnc2[nH]cnc2c1N,0,19,2,0
10808,1rrw_ligand,1rrw,Cn1cnc2c(=O)[nH]c(N)nc21,0,19,2,0
11167,4bi1_ligand,4bi1,c1cc2cnc3ccsc3c2cn1,0,19,3,0
11174,4bhz_ligand,4bhz,c1cc2cnc3sccc3c2cn1,0,19,3,0
11433,5ekx_ligand,5ekx,Cc1cc(N)c(N)cc1Cl,0,19,1,0
12136,4e5f_ligand,4e5f,O=C1Cc2ccccc2C(=O)[N+]1=O,0,19,1,2
12355,5vdv_ligand,5vdv,Oc1c2ccccc2nc2nnnn12,0,19,3,0
12838,2x6f_ligand,2x6f,C[n+]1cnc(N)c2nc[nH]c21,0,19,2,0
13033,3mag_ligand,3mag,C[n+]1cnc(N)c2nc[nH]c21,0,19,2,0
13124,3qvv_ligand,3qvv,N#Cc1cc2ccc(O)cc2oc1=O,0,19,2,0
13257,4cq0_ligand,4cq0,Nc1ccc2c(c1)S(=O)(=O)NC2=O,0,19,1,1
14075,5c85_ligand,5c85,O=C1CNc2cc(Br)ccc2N1,0,19,1,1
910,5wbp_ligand,5wbp,O=c1[nH]c2ccccc2nc1C(F)(F)F,0,20,2,0
959,4ty8_ligand,4ty8,Cc1ccc2oc(=O)ccc2c1,0,20,2,0
994,4pnq_ligand,4pnq,Nc1cccc2c(=O)[nH]ccc12,0,20,2,0
1312,4yrc_ligand,4yrc,Nc1ccc2cccc(O)c2n1,0,20,2,0
1412,5jah_ligand,5jah,CN1C(=O)NC(=O)C1(C)C,0,20,0,3
1912,4bi0_ligand,4bi0,c1ccc2c(c1)[nH]c1cncnc12,0,20,3,0
2647,4x8t_ligand,4x8t,O=C1NCCc2ccc(Cl)cc21,0,20,1,1
4761,4yux_ligand,4yux,[NH2+]=C1CSc2ccccc2N1,0,20,1,0
5671,1bap_ligand,1bap,O[C@@H]1[C@@H](O)[C@@H](O)OC[C@@H]1O,0,20,0,0
6951,3e0q_ligand,3e0q,[NH3+]C1[NH2+]C(O)NC(=O)C1Br,0,20,0,1
7784,3ch9_ligand,3ch9,CNC(=[NH2+])NC(=O)NC,0,20,0,2
8377,3kqt_ligand,3kqt,Cn1c(N)nc2ccccc21,0,20,2,0
9766,6abp_ligand,6abp,O[C@@H]1[C@@H](O)[C@@H](O)CO[C@H]1O,0,20,0,0
11203,3nuu_ligand,3nuu,O=C1NCCc2ccccc21,0,20,1,1
12099,2xuc_ligand,2xuc,CNC(=[NH2+])NC(=O)NC,0,20,0,2
12231,5g42_ligand,5g42,NC(=O)n1ccc2cc(Cl)ccc21,0,20,2,1
13927,5aqn_ligand,5aqn,O=c1[nH]cnc2c1oc1ccccc12,0,20,3,0
1738,6afg_ligand,6afg,CN1C(=O)[C@@H](O)c2ccccc21,0,21,1,1
1963,4avw_ligand,4avw,O=c1[nH]c2sccc2c2ccccc12,0,21,3,0
2101,2a3a_ligand,2a3a,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0,21,2,0
2683,4bde_ligand,4bde,Cc1ccc2ncnc(N)c2c1,0,21,2,0
2799,5aic_ligand,5aic,Cc1ccc2c(c1)SCC(=O)N2,0,21,1,1
3973,5am2_ligand,5am2,Cc1ccc2cc[nH]c(=O)c2c1,0,21,2,0
6200,5t4u_ligand,5t4u,Cn1c(=O)ccc2ccccc21,0,21,2,0
6901,4pnm_ligand,4pnm,Cc1nc2c(O)cccc2c(=O)[nH]1,0,21,2,0
7497,1q4w_ligand,1q4w,Nc1ccc2nc(N)[nH]c(=O)c2c1,0,21,2,0
7603,4pax_ligand,4pax,Cc1nc2c(O)cccc2c(=O)[nH]1,0,21,2,0
9714,1w1p_ligand,1w1p,O=C1NCC(=O)N2CCC[C@@H]12,0,21,0,2
10189,5aqq_ligand,5aqq,Cc1ccc2c(N)ncnc2c1,0,21,2,0
10278,4pnr_ligand,4pnr,O=c1[nH]c2sccc2c2ccccc12,0,21,3,0
10604,5aqo_ligand,5aqo,Cc1ccc2ncnc(N)c2c1,0,21,2,0
10778,3src_ligand,3src,O=c1o[nH]c2[n+]1-c1cc(Br)ccc1OC2,0,21,2,0
11692,5a5o_ligand,5a5o,Cc1cc2ccccc2[nH]c1=O,0,21,2,0
12408,3bki_ligand,3bki,O=c1[nH]c2cc3no[n+](O)c3cc2[nH]c1=O,0,21,3,0
12599,2qc6_ligand,2qc6,Cc1c(Br)c(=O)oc2c(Br)c(O)ccc12,0,21,2,0
12626,6afe_ligand,6afe,O=C1Nc2c(cccc2C(F)(F)F)[C@@H]1O,0,21,1,1
12759,4mg5_ligand,4mg5,O=C1[C@@]2(Cl)[C@@]3(Cl)[C@H]4[C@]1(Cl)[C@@]1(Cl)[C@]2(Cl)[C@]3(Cl)C(Cl)(Cl)[C@@]41Cl,0,21,0,0
13119,3kqa_ligand,3kqa,C=C1C(O)=C(O)C[C@H](O)C1O,0,21,0,0
13136,6afd_ligand,6afd,Cc1cccc2c1NC(=O)[C@H]2O,0,21,1,1
253,3nk8_ligand,3nk8,O=c1cc(C(F)(F)F)c2c([nH]1)CCC2,0,22,1,0
1651,1pu7_ligand,1pu7,Cn1cnc2c(N)nc[n+](C)c21,0,22,2,0
2004,5dy7_ligand,5dy7,O=C1CNc2ccc(C(F)(F)F)cc2N1,0,22,1,1
2887,5aqh_ligand,5aqh,CN1N=C(N)c2c[nH]c3ncnc1c23,0,22,2,0
5738,3ess_ligand,3ess,O=C1NC(=O)c2cccc3cccc1c23,0,22,2,2
6027,4pnl_ligand,4pnl,Cc1nc2c(c(=O)[nH]1)CSCC2,0,22,1,0
7012,4mrf_ligand,4mrf,c1ccc2c(c1)CC[NH2+]C2,0,22,1,0
8106,3rxg_ligand,3rxg,[NH3+][C@H]1CC[C@H](O)CC1,0,22,0,0
8663,1n7j_ligand,1n7j,Ic1ccc2c(c1)C[NH2+]CC2,0,22,1,0
8666,4pct_ligand,4pct,C#C[C@@H]1[NH2+][C@@H](C)[C@@H](O)[C@H]1O,0,22,0,0
10863,3zvv_ligand,3zvv,Cc1cc(C)n2nc(N)cc2n1,0,22,2,0
10941,5eps_ligand,5eps,CN1C(=O)CNc2ccccc21,0,22,1,1
11929,1yz3_ligand,1yz3,Clc1ccc2c(c1Cl)C[NH2+]CC2,0,22,1,0
12130,5ak3_ligand,5ak3,[NH3+]C1Cc2ccccc2C1,0,22,1,0
12316,4hbv_ligand,4hbv,CN1Cc2cc(Br)ccc2NC1=O,0,22,1,2
13294,3h2n_ligand,3h2n,[H]/N=C1\N=C2NC[C@@H](C)N=C2C(=O)N1,0,22,0,1
13425,5epr_ligand,5epr,C[C@@H]1Nc2ccccc2NC1=O,0,22,1,1
598,5ii1_ligand,5ii1,Cc1n[nH]c2oc(=O)c3ccccc3c12,0,23,3,0
936,3ft5_ligand,3ft5,Cc1nc(N)nc2c1CSCC2,0,23,1,0
1105,4led_ligand,4led,C[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,0,23,0,0
3174,5mo2_ligand,5mo2,NC(=[NH2+])N1CCCCC1,0,23,0,0
4010,3h2f_ligand,3h2f,CN1CC=Nc2c1[nH]c(=[NH2+])[nH]c2=O,0,23,1,0
4530,1rdj_ligand,1rdj,C[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O,0,23,0,0
5315,4jaj_ligand,4jaj,O=c1[nH]c2ncccc2c2ccccc12,0,23,3,0
6916,5mos_ligand,5mos,NC(=[NH2+])N1CCCCC1,0,23,0,0
7616,7abp_ligand,7abp,C[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,0,23,0,0
7845,5j1w_ligand,5j1w,Nc1ncc2cc3cnccc3cc2n1,0,23,3,0
8593,1apb_ligand,1apb,C[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,0,23,0,0
8883,1ofz_ligand,1ofz,C[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O,0,23,0,0
9396,4z46_ligand,4z46,C1CC[C@H]2[NH2+]~[Pt+]~[NH2+][C@@H]2C1,0,23,0,0
10194,5mno_ligand,5mno,NC(=[NH2+])N1CCCCC1,0,23,0,0
12639,5l8n_ligand,5l8n,Cc1cc2nc(N)[nH]c2cc1C,0,23,2,0
14072,1abf_ligand,1abf,C[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,0,23,0,0
132,2pax_ligand,2pax,Nc1ccc2c3c(cccc13)C(=O)NC2=O,0,24,2,2
269,2wmr_ligand,2wmr,O=c1[nH]cnc2sc3c(c12)CCCC3,0,24,2,0
1455,4irx_ligand,4irx,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,0,24,0,0
1595,1l5q_ligand,1l5q,Cn1c(=O)c2c(ncn2C)n(C)c1=O,0,24,2,0
2870,4q9s_ligand,4q9s,O=C1CN2C(=NN1)COc1ccccc12,0,24,1,1
3128,2os9_ligand,2os9,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,0,24,0,0
3966,3rxa_ligand,3rxa,[NH3+]C1CCCCCC1,0,24,0,0
4487,1rs2_ligand,1rs2,Cn1c(=O)c2[nH]c(=[NH2+])[nH]c2n(C)c1=O,0,24,2,0
4596,6t6a_ligand,6t6a,O=c1ccccc2[nH]c3c(Cl)cccc3c12,0,24,3,0
4772,6pvu_ligand,6pvu,O=[P@]1([O-])O[P@](=O)([O-])O[P@@](=O)([O-])O[P@@](=O)([O-])O[P@](=O)([O-])O[P@@](=O)([O-])O1,0,24,0,0
6365,5o4t_ligand,5o4t,Cn1c(=O)c(=O)n(C)c2ccccc21,0,24,2,0
7057,4yuw_ligand,4yuw,C[C@H]1CC[C@H]([NH3+])CC1,0,24,0,0
9125,1l7x_ligand,1l7x,Cn1c(=O)c2c(ncn2C)n(C)c1=O,0,24,2,0
9366,1gfz_ligand,1gfz,Cn1c(=O)c2c(ncn2C)n(C)c1=O,0,24,2,0
10580,4avu_ligand,4avu,O=c1[nH]c2ccccc2c2ccccc12,0,24,3,0
11398,3atk_ligand,3atk,[NH3+]C1CCCCCC1,0,24,0,0
11809,2a3b_ligand,2a3b,Cn1c(=O)c2c(ncn2C)n(C)c1=O,0,24,2,0
13074,3tiy_ligand,3tiy,O=c1c(O)cccc2cc(O)c(O)c(O)c12,0,24,2,0
13179,3g6m_ligand,3g6m,Cn1c(=O)c2c(ncn2C)n(C)c1=O,0,24,2,0
381,6ugo_ligand,6ugo,Cc1cc(C)c2c(c1)S(=O)(=O)NC(=O)N2,0,25,1,2
593,5j1v_ligand,5j1v,Nc1ncc2cc3cnccc3c(N)c2n1,0,25,3,0
843,3ril_ligand,3ril,O[C@H]1[C@H](O)[C@@H](O)C[NH2+]C[C@@H]1O,0,25,0,0
1787,3u9c_ligand,3u9c,Oc1ccc2c(c1)Oc1cc(O)ccc1N2,0,25,2,0
2325,1pmv_ligand,1pmv,O=C1c2ccccc2-c2n[nH]c3cccc1c23,0,25,3,0
2712,2zmd_ligand,2zmd,O=C1c2ccccc2-c2[nH]nc3cccc1c23,0,25,3,0
3850,5f6d_ligand,5f6d,O=S1(=O)Nc2ccccc2-c2ccccc21,0,25,2,0
4628,2bjm_ligand,2bjm,Oc1c2ccccc2cc2ccccc12,0,25,3,0
6309,2x8d_ligand,2x8d,Cc1cc2[nH][nH]c(=O)[n+]2c2ccccc12,0,25,3,0
7733,4bds_ligand,4bds,Nc1c2ccccc2nc2ccccc12,0,25,3,0
10448,6o4x_ligand,6o4x,Nc1c2ccccc2nc2ccccc12,0,25,3,0
13721,1w8l_ligand,1w8l,CC(=O)N1CCC[C@@H](C)C1,0,25,0,1
14008,1n7i_ligand,1n7i,Clc1ccc2c(c1Cl)C[NH2+]CCC2,0,25,1,0
819,3nsq_ligand,3nsq,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,0,26,2,0
1306,1hn2_ligand,1hn2,Nc1cccc2cc3ccccc3cc12,0,26,3,0
3421,1gt1_ligand,1gt1,Nc1cccc2cc3ccccc3cc12,0,26,3,0
4607,4n7j_ligand,4n7j,CN(C)C1=NC(=O)c2ccccc2C1,0,26,1,1
6054,4fk7_ligand,4fk7,Nc1ccc2[nH]c(=O)c3ccccc3c2c1,0,26,3,0
6770,4zsm_ligand,4zsm,[NH2+]=C1N[C@@H]2CCCC[C@@H]2CS1,0,26,0,0
10277,2ow7_ligand,2ow7,O[C@@H]1[C@H](O)C[S@@+]2CCCC[C@@H]12,0,26,0,0
12440,2an5_ligand,2an5,[NH3+][C@H]1CCc2ccccc2[C@@H]1O,0,26,1,0
12764,6au2_ligand,6au2,Cc1nnc2n1-c1ccccc1COC2,0,26,2,0
